,cleaned_text
174,grandpas brother have car absolutely amazing classic later on give car father have child
175,bro trailer gas car
176,guy calm law say legal drive gasoline car company stop produce gasoline car
177,do save
178,actually happen 😔
179,wait government actually take away gas car
180,scrap car ’ gas power gas truck 💀
181,way take classic car do restoration grandad
182,car guy PROMISE always have gas car heart no matter future teach kid love gas car need keep
183,still drive just new car allow produce bit win too EU sign deal state car
184,happy less noise sleep
